annotator_id,age,gender,anime_familiarity,category,reason_en,freeform_responses
A043,50s or older,Male,Medium,Timbre Difference,Repeatedly notes the timbral difference of 'voice being distinctive and different from the norm',"['映るもの全てが独特な想像の世界でできている', 'ちょっと普通の発声と違う', '声が独特で普通とちょっと違う', '普段と全く違う独特な話し方']"
A044,40s,Male,Medium,Emotional Explicitness,Emphasizes 'emotional expression being exaggerated/over the top',"['感情表現が誇張されている', '感情表現がオーバーで、伝えたい単語はより強く強調して表現している', '大げさな表現で伝えたい単語を強調する']"
A045,50s or older,Male,Medium,Emotional Explicitness,Views 'a speaking style that conveys mood and emotion well' as the core,"['聞いていて聞きやすく、気持ちや感情が良くわかる喋り方が「アニメらしさ」だと思います。', '感情があり、滑舌が良くて聞きやすい喋り方。', '喋っていると気持ちが入っていて聞きやすい声です。']"
A046,50s or older,Male,Medium,Articulation Clarity,Prioritizes articulation by noting 'expression is exaggerated with good diction',"['大げさな表現', '滑舌よく表現が大袈裟', '大げさな抑揚']"
A047,50s or older,Male,Medium,Prosodic Salience,Emphasizes prosodic skill through 'dynamic (strong-weak) contrast' and 'technically proficient voice',"['より芝居がかった、感情のこもった抑揚のある声。子供に向かって語りかけ、注意を引くような声。', '滑舌の良いくっきりとした明瞭な声。喜怒哀楽を声の抑揚に込めた起伏が大きい声。', 'やや大げさにドラマチックさを演出したような声。よく通るノイズが少ない声。', '低音から高音まで変化するメリハリのある声。その一部分だけを切り取ってもエンターテイメントとして通用する技巧的な声。', 'けれん味のある芝居がかった声。滑舌がはっきりとした聞き取りやすい声。', '劇的な場面を想起させる豊かな抑揚の声。キャラクターの性格を強調した仰々しい声。', '喜怒哀楽が強調された情緒的な声。女性声優による少年役のハスキーな声。', 'わざとめかした大仰な調子の声。子音と母音の発音がくっきりとした声。']"
A048,40s,Female,High,Articulation Clarity,First identifies the clarity of 'clearly and firmly voicing',"['はっきりと発声しているのと、何らかのキャラ（人格）になり切っている', 'はっきりと話していて、演技が入っている', 'はっきりと発声していたり、演技をしていたり、感情が入っている']"
A049,40s,Male,Medium,Prosodic Salience,Cites 'distinct intonation' as the reason,"['だれにでもわかるような音の表現をしていること', '声が特徴的で抑揚がはっきりしている']"
A050,40s,Male,Medium,Timbre Difference,Repeats across all responses that 'the voice is individualistic and has distinctive characteristics',"['声が個性的で特徴がある。キャラクターになりきっている。', '声が個性的で特徴がある・キャラクターになりきっている']"
A051,40s,Male,High,Articulation Clarity,Emphasizes articulatory precision as 'pronouncing each syllable clearly',['抑揚のある感情のこもった言葉、一文字をはっきりと発音している']
A052,40s,Male,High,Emotional Explicitness,Comprehensively mentions 'rich expressiveness' and 'being infused with emotion',"['活舌の良さや、声に感情が乗っていること', '音声だけでも、独特の世界観を醸し出している。', '感情表現が豊か、滑舌の良い声', '表現力が豊かな音声であり、感情が乗っている。', '滑舌の良さ、感情が豊かで個性的な声']"
A053,40s,Male,Medium,Articulation Clarity,Commonly mentions 'a speaking style where every word is clearly audible',"['抑揚がはっきりし、聞き取りやすい。', '抑揚が大きく、聞き取りやすいこと。', '抑揚が大きく、聞き取りやすい発音。', '抑揚が大きく、しっかり聞こえる発音。', '一語一句はっきりと聞こえる話しかた。']"
A054,30s,Female,High,Articulation Clarity,Cites the combination of 'clear/firm speech style' and distinctive tone as the reason,"['日常会話よりもゆったり・はっきりした口調と、独特のトーン（萌え）を絡めた感じがアニメらしいと感じます。', '日常会話よりもゆったりしたトーン・はっきりした口調で、若干の萌えが入っている方がアニメらしいと感じます。', 'ゆったりしたトーン・はっきりした口調で、萌えが入っている方がアニメらしいと感じます。']"
A055,30s,Female,Medium,Prosodic Salience,Explains 'wide intonation and exaggerated voice' as the reason,"['感情表現が豊か', '抑揚が大きく、誇張された声']"
A056,30s,Male,High,Emotional Explicitness,Emphasizes 'a voice imbued with warmth and feeling',['より情感をこめた声であること']
A057,40s,Male,Medium,Articulation Clarity,Consistently uses the expression 'clear contour (clarity)',"['明瞭で輪郭がハッキリした音質', '変わった声質や演技色が強く出ていても明瞭で輪郭がはっきりしている', '抑揚が大きかったりメリハリがはっきりしつつ輪郭がくっきりとしている', '抑揚が大きめで輪郭がはっきりした音声となっている印象', '抑揚が大きくメリハリがあり、輪郭がはっきりしている', '抑揚が大きくメリハリがあって輪郭がはっきりしている', '抑揚が大きくメリハリがあり、輪郭のはっきりしている声質', '言葉の輪郭がはっきりしていてキレイな発声。かつ抑揚はしっかりしているがやりすぎていない。', '輪郭がはっきりしていてキレイな発声']"
A058,30s,Male,Medium,Prosodic Salience,Consistently responds across all data that 'the acting intonation is distinct',"['演技の抑揚がはっきりしている', '抑揚がはっきりした演技']"
A059,30s,Male,High,Timbre Difference,First mentions the timbral category of 'so-called anime voice',"['アニメ声、大げさなしゃべり方', '大げさな話し方とアニメ声', 'アニメ声で大げさな話し方', 'アニメ声と大げさな話し方', 'いわゆるアニメ声。だらっとしていなくてハキハキしている。演技っぽい仰々しさがある。']"
A060,30s,Male,Medium,Timbre Difference,Mentions 'distinctive timbre' before intonation,['独特の声質で、抑揚が大きいのが特徴だと思います。']
A061,40s,Male,Medium,Emotional Explicitness,Cites 'over-the-top emotional expression' as the reason,['オーバーな感情表現']
A062,40s,Male,Medium,Prosodic Salience,"Mentions multiple prosodic elements such as 'bright, high pitch and wide intonation range'","['明るい高めのピッチ、はっきりした発音でボソボソ喋らない、抑揚が大きくて感情豊か', '抑揚がはっきりとしていて、感情表現が大きい', '明るく高めのピッチ、はっきりした発音、大きな抑揚', '高めで明るく、抑揚が大きい', '抑揚が大きくて、はっきりした発音と、キャラクターの感情が乗った豊かな表現', '母音を強調して、抑揚を大きく付けて喋る', '感情がはっきりしていて、抑揚が大きくて、演技のテンポが良い', '抑揚が大きくて、感情表現が豊かで、演技がはっきりとしている', 'メッセージ性があって、テンポが良くて、声優の演技力が高い']"
A063,30s,Male,High,Emotional Explicitness,Emphasizes acting ability that 'prevents the listener from returning to reality (immersion)',['現実に引き戻されないこと']
A064,50s or older,Male,High,Timbre Difference,Points to the timbral characteristic of 'so-called anime voice',['いわゆるアニメ声で抑揚が大きい']
A065,50s or older,Male,High,Emotional Explicitness,Emphasizes 'mood-infused speech style' and 'emotionally charged delivery',"['聞きやすくて、気持ちのこもった喋り方。', '感情がこもった喋り方が出来ている。', '気持ちの入った喋り方。']"
A066,50s or older,Male,Medium,Emotional Explicitness,Views theatrical elements of 'dramatic delivery with strong emotional movement' as the core,['ダイナミックな動きがあって、ドラマチックで感情が大きく動き、ファンタジー要素もあり、セリフのことばも計算されている、カラフルなドラマ。歳をとっても感情を動かされます。']
A067,40s,Male,Medium,Temporal Control,Emphasizes temporal control through 'taking many pauses' and 'calculated breathing',"['セリフの最後の一文字まで、さらに吐息までにも感情を込めている、気を行き渡らせて計算し尽くされている感じがする', 'なるべく多くの単語に感情を込めるために抑揚が多く、間もたくさんとる', '間をたっぷり使って演技をする', '動きに任せず声に必要な感情の全部を入れようとする', '抑揚と吐息で感情を表す', '単語の区切りを伸ばして間を取り、感情を表したり切り替えなどの演技を入れる事が多い', '早口になってもセリフの文字を飛ばしたりしない', '声でできる限り表現をしようとするから間や抑揚をたっぷり入れて感情を乗せている']"
A068,50s or older,Female,Medium,Emotional Explicitness,Emphasizes 'a voice that evokes a situation' and the ability to recreate scenarios,"['人間とは違う次元の物語の楽しさ', '声を聴いているとその状況が思い浮かぶ', '現実を超えた世界が楽しめる', 'ファンタジックなイメージが広がる感じ', 'ファンタジックなイメージが広がる感じです']"
A069,20s or younger,Female,High,Prosodic Salience,Cites 'intonated speech style' as the reason,['抑揚がある喋り方']
A070,40s,Female,Medium,Emotional Explicitness,Explains 'a voice where emotions are clearly expressed' as the reason,"['日常会話と比べて、感情がはっきり表現されている声がアニメらしいと思います。', '感情がやや大げさに表現されている', '感情表現が分かりやすい']"
A071,40s,Female,Medium,Emotional Explicitness,Emphasizes 'over-the-top acting' and 'excessive reactions',"['声質にクセがある、過剰なリアクションの話し方、甲高い声', '演技がオーバー気味、甲高い萌え声、叫びが上手い']"
A072,30s,Male,Medium,Prosodic Salience,First cites 'exaggerated intonation or pitch pattern' as the reason,"['一つ一つの言葉が過度に明瞭かつ流暢で、台本を読んでいることが明らかに分かる。', '発話中のイントネーションや抑揚が大げさ', 'オーバーな抑揚、明らかなセリフ感', '過剰に明瞭な言葉、大げさな抑揚、わざとらしい言い回し']"
A073,40s,Male,Medium,Emotional Explicitness,Cites 'theatrical-style acting' and 'over-the-top reactions' as reasons,"['演技が大袈裟', '現実離れしている', '演劇のような芝居', 'オーバーリアクション']"
A074,50s or older,Male,Medium,Articulation Clarity,Repeatedly emphasizes 'speaking clearly/distinctly',"['抑揚感がありやや大げさな話し方', 'ゆっくり確実に、そして大袈裟に話すのがアニメらしい', '腹から声を出すようにはっきりとわざとらしく話す', 'はっきりゆっくりと感情をこめて話す', '大袈裟にゆっくりと話す。', 'ゆっくりと大袈裟にはっきり話す。', '抑揚を付けてゆっくりと大袈裟なくらいハッキリ話す。']"
A075,50s or older,Male,High,Timbre Difference,Emphasizes 'timbre of exaggerated expression beyond everyday voice quality',"['日常的な声質よりも、大げさな表現をした声質のほうがよりアニメらしいと思います。', '物語の空気感を読んでそれに合わせた発話・発音をするのがアニメらしさだと思います。', '声だけでいえば、通常の話し方よりも大げさで抑揚を強めにし、感情をいれるのがアニメらしさだと思います。']"
A076,30s,Male,Medium,Timbre Difference,Values 'timbre suited to the character's image',['キャラクターのイメージに合った違和感のない声質と喋り方です、少なくともジブリ作品で使われる声優以外だと思っています。']
A077,40s,Male,High,Articulation Clarity,Commonly mentions across all responses that 'diction/articulation is good',"['滑舌が良い。個性的な声と喋り方。', '滑舌が良い。声と喋り方が個性的。', '滑舌が良い。声や喋り方が個性的。', '声が魅力的で、滑舌が良い。']"
A078,40s,Male,Medium,Timbre Difference,Points to the timbral characteristic of 'emphasized/stylized voice (cool/cute)',['芝居がかった声。カッコよさや可愛さなどを強調させた声。']
A079,40s,Male,Medium,Emotional Explicitness,Emphasizes acting intent in 'exaggerated intonation to the point of being deliberately theatrical with emotional intensity',"['セリフの間の取り方と強調する部分が、アナウンサーやナレーターと比べて多少オーバー気味であること', '感情をこめて、ワザとらしいくらい大げさな抑揚をつける']"
A080,30s,Male,High,Timbre Difference,Mentions 'unique timbre' and 'distinctiveness' as key factors,"['心に染み入り響くような声質の独特感と聞き心地の良い抑揚の大きさです。', 'ユニークな声質で感情がはっきりと聞き取れるのがアニメらしさと考えます。']"
A081,50s or older,Male,Medium,Prosodic Salience,Emphasizes 'voice with dynamic contrast (strong-weak) and wide intonation range',['声にメリハリがあり、抑揚が大きく、感情がこもっている。']
A082,50s or older,Male,High,Prosodic Salience,Consistently answers 'distinct intonation and easy to listen to',"['基本的には抑揚がはっきりして聞き取り易くて、キャラクターによって暗く物悲しい感じだったり、明るく楽しい感じだったりを声の調子で表現しているものと思いますし、独特なイントネーションが有るのを感じます。', '基本的に抑揚がはっきりとしていて、声にキャラクターに合わせた感情が乗っている度合いが大きいと思います。独特のイントネーションも感じます。', '基本的に抑揚がはっきりとしていて聞き取り易く、声にキャラクターに合わせた感情が乗っている度合いが大きいと思います。独特のイントネーションも感じます。', '基本的に抑揚がはっきりとしていて聞き取り易く、声にキャラクターの性格に合わせた感情が乗っている度合いが大きいと思います。日常会話とは少し異なった独特のイントネーションも感じます。', '抑揚がはっきりとしていて聞き取り易くて、声にキャラクター像、性格等に合わせた感情が乗っている度合いが大きいと思います。場合によっては日常会話とは少し異なった独特というか芝居がかった様なイントネーションも感じます。', '抑揚がはっきりとしていて聞き取り易くて、声にキャラクター像、性格等に合わせた感情が乗っている度合いが大きいと思います。場合によっては日常会話とは少し異なった独特というか強調された様なイントネーションも感じます。']"
A083,40s,Male,Medium,Articulation Clarity,Mentions 'speaking clearly (clarity)' as the primary characteristic,"['言葉をはっきりいう、抑揚が大きい、吐息などの息遣いが大きい。', '声が作った感じがする。\r\n独特なセリフ回し。\r\nちょっと大げさな感情表現。', 'お腹から声が出ている']"
A084,50s or older,Male,High,Emotional Explicitness,Explains 'the way emotions are expressed is easy to understand' as the first reason,"['自然さというより、視聴者に意図を伝えるために少し盛った声。', 'まず感情の出し方がすごく分かりやすいこと。怒ってる時はガッと高くなるし、落ち込む時はスッと小さくなる。', '喜んだときに声が跳ねたりする演出がこれぞアニメって感じがします。', '現実的な話し方をしながらも、どこか芝居がかった美しい発声。', 'キャラの世界観に合わせて音色を調整']"
A085,30s,Male,High,Articulation Clarity,First mentions the clarity of 'clearly audible',['はっきり聞き取れる\r\n適度な間がある\r\n語尾で息が漏れる音が聞こえる']
A086,30s,Male,Medium,Timbre Difference,Emphasizes 'distinctive habitual voice characteristics different from everyday conversation',['声が日常会話とは違う独特なクセがあり、口調がゆっくり、ハキハキ、語尾が変わっているなど特徴がある']
A087,40s,Male,High,Articulation Clarity,Repeatedly mentions 'each syllable is clearly audible',"['声だけを聴いてもお芝居をしていることが分かることです。', '感情を言葉に乗せている', '現実の世界とは違うテンションで話しているような雰囲気', '一文字一文字に力がこもっていてしっかりと聞こえてくる', '一文字一文字がはっきり聴こえる', '話者がお芝居をしていること', '声に重みやポップさがあること']"
A088,30s,Male,High,Emotional Explicitness,Identifies 'emotionally rich voice' as the first reason,"['声が独特', '感情豊かな声']"
A089,50s or older,Female,Medium,Articulation Clarity,Uses 'clear and easy to listen to' as the standard for anime voice,['クリアで聞き取りやすく、ちょっとした言葉からも何らかの感情を感じられると、アニメらしい声だと感じられます。\r\n逆に、活舌が悪かったりボソボソとした声質だったりで聞き取りにくく、感情もあまり伴っていない声だと、アニメ用に演技しているようには感じにくいです。']
A090,40s,Female,Medium,Prosodic Salience,Uses 'wide/distinct intonation range' as the basis for all responses,"['抑揚がある声だと思います。', '声の抑揚が美しいこと。', '抑揚がおおきいこと。', '抑揚がはっきりしている。', '抑揚がしっかりしている']"
A091,40s,Male,High,Prosodic Salience,Places the keyword 'wide intonation range' first to emphasize it,['抑揚が大きい・感情がはっきり・表現豊か・誇張された・特徴がはっきりしている・張りがある・伸びがある・深みがある']
A092,30s,Male,Medium,Emotional Explicitness,Emphasizes the performance unity of 'acting as the character',"['キャラクターの性格を把握し、それになりきっている。', 'キャラクターになりきること', 'キャラクターと声質がマッチしている', '抑揚をつけて話す、喋ることが上手', 'キャラクターになりきっている', 'キャラクターになりきる', '演じ切っている']"
A093,50s or older,Male,Medium,Timbre Difference,"Prioritizes voice quality, noting 'having distinctive voice quality and expressing emotion through its variation'",['独特の音声の質をもっている、その質の変化が感情を表現している。またそれに声の抑揚も重ね合わせ表現を広げているように思います。']
A094,30s,Male,Medium,Articulation Clarity,Mentions 'easy to listen to' before emotion,['セリフっぽい\r\n聞き取りやすい\r\n感情がこもっている']
A095,30s,Male,High,Prosodic Salience,Repeatedly responds with 'distinct voice dynamics (intonation)' as the top criterion,"['フレーズの一部が強調されていたり、感情がダイレクトに伝わる高低差があればアニメらしいと感じます。', '声に強弱があり、はっきりと感情が伝わっていると、アニメらしいと感じます。', '音声にはっきりとした強弱があり、プラスの感情やマイナスの感情がはっきり伝わってこれば、アニメらしいと感じます。', '少し聴くだけで感情がすぐに読み取れるものは、アニメらしいと感じます。', '声の強弱がはっきりとしていて、あまり速すぎない話し方であればアニメらしいと感じます。', '少し遅めのテンポで感情が込められた音声がアニメらしいと感じます。', '声に抑揚があり、ゆっくりめに話していると、アニメらしいと感じます。', '声に抑揚があり、少し遅めのテンポで話していれば、アニメらしいと感じます。', '抑揚があり、感情が多く込められていれば、アニメらしいと思います。', 'はっきりとした抑揚があり、多くの感情を読み取ることが出来ればアニメらしいと感じます。', '高低差や抑揚がある声がアニメらしいと思います。', 'はっきりとした抑揚があり、感情が込められていればアニメらしいと思います。']"
A096,50s or older,Male,High,Prosodic Salience,Cites 'undulation (intonation) in speech style' and 'distinctive accent' as main reasons,"['話し方に、感情がのせられている。', 'セリフの言い方が芝居がかっているというか、アクセントのつけ方が大げさ。それでいて、不自然さを感じないのがアニメらしい。', '話し方に起伏があり、感情が伝わってくるような話し方がアニメらしい。', '話し方にメリハリがあり、感情が伝わってくる。', 'アクセントがはっきりしていて、セリフに感情がのっている', '話し方がはっきりしていて、感情が伝わってくる。', '芝居がかかった話し方をしているのに、自然に聞こえる。', '話し方に独特のアクセントがある。', '会話のアクセントに独特のクセがある。', '話し方に独特のアクセントがある', '話し方のアクセントに独特のクセがある。']"
A097,30s,Male,High,Timbre Difference,Explains 'timbre having distinctive characteristics or a lustrous quality' as the reason,"['声質に特徴があったり艶のある声がアニメらしいと思います。', '聴いていて声が良いと感じるところ']"
A098,40s,Male,High,Timbre Difference,First points to 'distinctive timbre',['声質が独特で、芝居ぽく、聞き取りやすい明確な発声、徳陽が大きく感情的な声']
A099,50s or older,Male,Medium,Timbre Difference,Mentions the timbral intensity of 'the voice having impact',"['声にインパクトがある', 'インパクトのある声']"
